Nitrogen,Phosphorus,Potassium
10.02686492,9.310355922,11.10516073
30.48558961,27.82472497,10.05771653
26.59492751,12.92904481,35.38848301
48.0702688,30.27798419,10.22660948
31.14239036,20.94223363,34.51813356
17.83701714,5.661237486,61.92410632
42.17041708,21.68107612,34.32728411
21.38047041,11.28870409,59.82093222
5.263749856,52.38072371,28.18196777
92.74307978,11.27071747,22.094629
23.67293909,23.73907714,54.42645655
99.82513093,10.34163707,23.27597666
76.05499336,27.84731152,23.18434341
40.11356292,43.51709647,28.93245342
48.99052829,30.61220998,40.12717099
27.7908296,66.57878573,16.70836016
42.5631719,49.89613373,27.34539874
63.64810261,46.3293424,20.28338723
132.3070072,8.944401367,18.64949051
118.336608,12.19966555,25.39505683
26.64993845,31.2918594,64.75170667
18.61513806,58.70842031,41.51140562
114.4220128,17.1193906,27.61069299
51.43488021,19.06149179,67.57710247
23.66574457,33.78032566,69.75183623
66.01356814,12.25460034,68.29466674
58.99083227,71.78590002,11.1665158
82.92253089,31.20013508,40.00766966
40.32522079,81.33318448,14.83086639
50.14795311,29.11255216,65.87760604
47.23756245,48.9003347,46.91099825
44.61285546,51.42023331,47.05448421
116.6445103,43.19753344,11.31809135
91.07573715,49.57024896,22.835499
83.85080341,42.25203593,37.087634
38.14338716,52.67540647,55.35131111
42.61956086,74.88309861,32.38615011
120.3883776,46.8406691,11.26268115
20.91323909,36.27963008,86.35059735
69.16995799,46.43097487,47.12645558
101.2516181,23.38689455,54.14253342
125.9501885,42.65037315,18.56532889
92.19719156,64.18046394,19.32813639
39.06576121,81.68317878,36.64872728
56.20353122,47.75272485,62.13186114
56.91445753,53.53033037,57.22059832
73.64692136,75.62991247,25.3645105
40.18623458,56.83033131,66.37771135
26.599621,41.04882168,91.58372321
39.04099533,32.56048218,95.13088047
59.05528836,45.32778152,70.08781745
122.2019411,35.82578554,40.89966538
96.43339267,45.2950307,48.2117817
48.86318021,80.7550667,43.81835829
13.28936719,60.22155568,87.10162005
78.17750652,73.25536433,36.94737419
27.7805959,48.10799754,92.99838408
45.84249001,62.69284807,69.09276579
78.53074747,81.72895184,31.35918448
146.7085843,51.61687672,18.59011553
73.72301546,31.74627341,88.12103703
53.8511768,78.23309669,53.09386447
72.28889848,31.63496456,92.16111051
106.951467,26.1801182,75.54214114
77.16330129,40.22157089,81.51607894
19.53856773,66.42684711,89.92986297
141.8962912,17.6762924,67.62499315
136.1311628,65.02356177,21.74617137
148.0517664,33.0135332,49.64998531
119.104916,18.27972048,85.05801012
66.48075478,76.33579187,59.51092217
140.3590665,57.74011387,32.96074024
99.59769935,30.41185829,89.0444667
14.86955534,80.45460323,89.55600102
117.267643,53.64912852,54.54183359
22.67954305,83.49303853,85.63417485
96.08233799,89.69170534,34.85496996
61.91889783,54.34115941,93.66193297
43.70652294,85.28388784,74.21580059
77.13682783,50.53022777,91.50777284
137.6989677,59.41011554,44.87113875
86.53685934,67.33282302,69.95867711
127.5510861,83.3756428,30.64903295
103.2930312,67.18422941,63.28386837
53.94766748,89.03226359,73.37758945
137.3060291,76.44588653,37.18887245
145.3533115,63.19087658,46.74859966
42.89860442,82.59317832,94.05358993
123.4552294,52.46500191,75.52187629
136.1905658,65.71642587,56.18424516
108.4815223,49.29810409,92.37973959
59.25746913,84.3160136,91.75760675
135.4225989,77.38250965,52.55025092
135.5245026,64.67115029,69.24599972
134.1717381,59.38034698,81.07769264
134.7431729,70.28013404,72.37342234
128.243986,87.36212537,64.26226942
133.8259283,62.44508362,90.76296533
146.4176749,61.68892228,94.51157168
147.8895737,88.62768155,91.48137459
5.423735353,5.863011354,16.36074744
10.27133292,13.02633786,32.79440149
60.99075949,6.223493223,14.05051748
25.60794786,13.4523683,35.56765137
29.11157788,14.99329565,37.9961298
40.14883346,10.90988788,40.09380929
7.051032291,49.32179037,26.19541937
16.63071508,20.80781449,51.24718877
5.734322833,65.06889327,16.78184916
23.299622,22.53539945,51.07977475
44.53166304,10.5494836,53.61603738
111.09952,7.107373387,18.60525743
25.74819166,37.47700133,42.23389825
12.0917949,32.56380238,60.44289762
92.30469232,14.31426332,29.37391724
77.90863376,16.78363404,37.77793538
36.70307579,20.20410581,61.86709397
19.30337606,33.52861146,60.66373402
49.39770308,46.5175689,29.47317014
9.295574062,51.7301459,50.15340218
5.343313927,68.03820947,38.50446239
39.33610887,58.32844857,27.62889368
108.7585917,32.74404523,14.21491379
38.83326599,60.22407876,29.06125527
76.28536128,40.14832412,28.91614747
7.292411876,19.09485378,96.96745723
19.87987947,78.43185244,26.38449223
18.88461741,35.66467418,74.09085096
39.24744449,13.99119469,85.13846881
23.90168175,33.74504867,75.36716294
52.99225331,54.64273139,35.05395464
126.5315173,6.147416995,42.16477645
75.71292044,39.7953037,40.58000475
55.80179271,79.47962513,11.37778297
49.09835512,78.03069034,19.86769713
63.0471375,52.27179876,37.7048316
73.87058078,20.41927402,67.07802771
62.35963447,75.76229923,16.83156396
46.39774511,76.43603162,28.36899158
149.3254925,17.53162301,28.79400286
27.99178293,83.00827505,35.2223896
112.3920753,35.74408521,33.83668004
97.81338961,6.86223842,74.77375372
29.27553691,80.8019157,40.84197168
38.48136399,87.67115684,28.59786546
50.77238201,75.396727,34.89069843
33.10680885,79.8816217,42.32916035
39.13687036,26.95961645,97.25080409
109.452941,19.91590212,61.51772799
28.10104632,43.88338786,89.07217056
63.55752636,84.10777848,23.28978889
62.27409002,75.0780015,33.45642712
82.60603421,10.6607706,92.30666601
94.37543728,65.13797626,27.86242902
73.99649476,35.31933439,73.84439674
107.8876171,33.6094307,56.17745177
39.59250186,82.69300557,47.09687706
139.9112621,28.90968497,43.84096206
49.64584531,45.6610403,84.23332043
110.7066107,14.69827131,79.58680621
56.26449977,57.2327133,68.6336013
84.11125468,64.771205,44.06561844
117.161853,12.9567464,81.32361227
48.03360343,89.56155793,43.49397709
52.5942677,66.27067601,67.13453975
108.6698023,36.14093757,65.34533328
135.9375514,56.88299722,28.01986832
130.3615523,61.30550542,27.9426713
88.8191677,66.58383192,48.56418025
126.8846836,54.19696752,40.43813424
108.3188218,15.21932816,95.23748106
120.2886364,31.24334606,71.74184846
113.4530463,85.34951107,20.54501414
80.692257,85.27025816,40.99390818
80.90273163,79.33601548,47.43189988
47.12186628,59.74550485,92.49491358
77.60054334,77.89328892,55.41492655
114.1644953,86.23476571,25.94566097
56.01205788,67.1120491,82.87446666
78.32683331,82.10835502,55.57130151
62.78440612,87.42016476,60.54655904
147.3776002,18.10279112,85.09697624
121.5541766,57.2928265,60.19395388
147.6645897,46.38610866,59.42827798
135.9785799,78.29928711,33.35793826
136.1505826,72.65531468,41.34404033
112.2812201,40.43454761,94.14852626
133.9333217,33.60395567,88.8015324
135.196196,30.98916212,94.416434
121.0367194,48.48349798,85.61892817
112.1811734,69.89395328,70.05262647
59.72222714,74.26864699,99.6680191
100.9420805,64.86295,87.66907373
133.4051885,72.20414967,64.44758071
129.5672245,69.56410126,72.79469851
146.9248994,66.384043,71.09418238
125.5540474,76.68468153,79.21591749
88.40928083,89.37920093,95.14818463
125.109258,88.8621173,79.98552601
129.0816894,86.91469172,99.65195404
8.637085287,8.532951563,12.43655427
10.94090556,27.27325915,18.49627607
43.70628142,16.51405547,16.75441202
37.19744702,24.46554752,19.97290336
23.94667004,34.58625665,23.72588027
27.00193767,32.89980481,27.3680617
103.6829721,6.125023931,11.69139094
19.24521814,31.7152326,40.58598796
23.878086,36.77046386,35.98551585
39.26641522,17.91511824,46.09836562
13.12176853,44.70006765,39.31288505
12.61497354,42.32743112,43.57262155
61.93508381,43.35149426,12.77811611
63.24164522,16.73645047,42.1976242
82.6164373,25.4716056,24.03029206
126.2345735,8.242738342,16.93549344
12.2566979,76.73224062,17.90398949
109.2060518,7.859338552,31.86254154
76.87801148,5.393501236,56.43400227
38.7706839,64.8626226,18.28412306
43.38817142,15.3319392,71.87090757
73.81397206,42.91275355,24.33110339
104.7210147,24.56912305,25.82442294
69.21837133,33.65313208,39.24214486
31.90767739,53.78011129,42.74880143
5.690568367,37.81945274,78.93122393
23.07608981,32.36190669,75.39821366
